,sombra_media_%,sombra_mediana_%,sombra_p90_%,sombra_max_%,h_con_sombra,h_sombra_>10%,h_sombra_>50%,sombra_irr_ponderada_%,energia_bloqueada_kWh_m2,energia_incidente_kWh_m2
SA1_ST30,68.22,100.0,100.0,100.0,8730,5789,5718,17.95,17.78,81.3
SA1_ST28,67.98,100.0,100.0,100.0,8730,5762,5696,17.72,17.56,81.52
SA1_ST25,67.58,100.0,100.0,100.0,8723,5726,5659,17.14,16.98,82.09
SA1_ST13,66.5,100.0,100.0,100.0,8728,5633,5556,15.24,15.1,83.98
SA1_ST17,66.8,100.0,100.0,100.0,8726,5664,5578,15.91,15.76,83.32
SA1_ST23,67.43,100.0,100.0,100.0,8733,5713,5643,16.88,16.73,82.35
SA1_ST26,67.74,100.0,100.0,100.0,8729,5739,5673,17.32,17.16,81.92
SA1_ST29,68.1,100.0,100.0,100.0,8727,5780,5707,17.82,17.65,81.42
SA1_ST5,65.65,100.0,100.0,100.0,8727,5532,5473,13.95,13.82,85.25
SA1_ST22,67.29,100.0,100.0,100.0,8734,5701,5628,16.68,16.52,82.55
SA1_ST11,66.33,100.0,100.0,100.0,8728,5611,5537,14.97,14.83,84.25
SA1_ST4,65.6,100.0,100.0,100.0,8729,5532,5469,13.8,13.67,85.4
SA1_ST20,67.06,100.0,100.0,100.0,8724,5677,5607,16.32,16.17,82.91
SA1_ST31,68.34,100.0,100.0,100.0,8729,5806,5727,18.12,17.95,81.13
SA1_ST16,66.7,100.0,100.0,100.0,8729,5644,5567,15.73,15.59,83.49
SA1_ST1,62.12,100.0,100.0,100.0,5468,5455,5440,4.99,4.94,94.13
SA1_ST12,66.4,100.0,100.0,100.0,8726,5613,5548,15.14,15.0,84.08
SA1_ST10,66.25,100.0,100.0,100.0,8728,5598,5532,14.84,14.71,84.37
SA1_ST8,66.03,100.0,100.0,100.0,8730,5582,5509,14.53,14.39,84.69
SA1_ST19,66.96,100.0,100.0,100.0,8727,5665,5596,16.22,16.07,83.01
SA1_ST14,66.58,100.0,100.0,100.0,8724,5639,5565,15.38,15.23,83.84
SA1_ST21,67.2,100.0,100.0,100.0,8732,5689,5621,16.46,16.31,82.76
SA1_ST18,66.88,100.0,100.0,100.0,8726,5663,5589,16.09,15.94,83.14
SA1_ST24,67.48,100.0,100.0,100.0,8727,5713,5648,17.01,16.85,82.22
SA1_ST32,68.46,100.0,100.0,100.0,8729,5824,5741,18.3,18.13,80.95
SA1_ST9,66.1,100.0,100.0,100.0,8724,5575,5518,14.69,14.55,84.53
SA1_ST3,65.49,100.0,100.0,100.0,8728,5518,5458,13.61,13.49,85.59
SA1_ST6,65.76,100.0,100.0,100.0,8731,5550,5481,14.09,13.96,85.12
SA1_ST7,65.91,100.0,100.0,100.0,8729,5561,5497,14.31,14.18,84.9
SA1_ST15,66.65,100.0,100.0,100.0,8729,5655,5568,15.56,15.42,83.66
SA1_ST27,67.87,100.0,100.0,100.0,8731,5754,5683,17.51,17.35,81.73
SA1_ST2,65.4,100.0,100.0,100.0,8723,5505,5450,13.37,13.24,85.84
SA1_ST62,75.55,100.0,100.0,100.0,8729,6543,6419,33.25,32.94,66.14
SA1_ST60,75.23,100.0,100.0,100.0,8730,6503,6391,32.01,31.71,67.37
SA1_ST57,74.52,100.0,100.0,100.0,8728,6445,6326,29.41,29.14,69.94
SA1_ST45,71.4,100.0,100.0,100.0,8731,6120,6026,23.94,23.72,75.35
SA1_ST49,72.64,100.0,100.0,100.0,8728,6251,6141,26.52,26.27,72.8
SA1_ST55,74.34,100.0,100.0,100.0,8728,6415,6308,28.76,28.5,70.58
SA1_ST58,74.86,100.0,100.0,100.0,8728,6466,6356,30.54,30.25,68.82
SA1_ST61,75.39,100.0,100.0,100.0,8730,6511,6406,32.69,32.39,66.69
SA1_ST37,69.66,100.0,100.0,100.0,8727,5950,5856,20.53,20.34,78.74
SA1_ST54,73.85,100.0,100.0,100.0,8734,6397,6252,28.38,28.11,70.96
SA1_ST43,71.0,100.0,100.0,100.0,8734,6099,5986,23.13,22.92,76.16
SA1_ST36,69.45,100.0,100.0,100.0,8731,5927,5836,20.13,19.94,79.13
SA1_ST52,73.21,100.0,100.0,100.0,8732,6296,6195,27.66,27.41,71.67
SA1_ST63,75.7,100.0,100.0,100.0,8730,6554,6437,33.7,33.39,65.69
SA1_ST48,72.53,100.0,100.0,100.0,8726,6233,6136,26.01,25.77,73.31
SA1_ST33,65.74,100.0,100.0,100.0,5814,5787,5755,10.96,10.86,88.22
SA1_ST44,71.21,100.0,100.0,100.0,8732,6128,6014,23.55,23.33,75.74
SA1_ST42,70.71,100.0,100.0,100.0,8722,6062,5959,22.75,22.54,76.54
SA1_ST40,70.35,100.0,100.0,100.0,8728,6021,5926,21.94,21.74,77.34
SA1_ST51,73.08,100.0,100.0,100.0,8726,6275,6185,27.33,27.08,72.0
SA1_ST46,71.75,100.0,100.0,100.0,8727,6155,6057,24.54,24.32,74.76
SA1_ST53,73.48,100.0,100.0,100.0,8730,6326,6223,28.02,27.77,71.31
SA1_ST50,73.02,100.0,100.0,100.0,8733,6263,6175,27.04,26.79,72.29
SA1_ST56,74.39,100.0,100.0,100.0,8728,6414,6309,28.92,28.66,70.42
SA1_ST64,75.82,100.0,100.0,100.0,8735,6584,6444,34.0,33.69,65.39
SA1_ST41,70.55,100.0,100.0,100.0,8730,6045,5944,22.33,22.12,76.95
SA1_ST35,69.2,100.0,100.0,100.0,8724,5897,5811,19.7,19.52,79.56
SA1_ST38,69.9,100.0,100.0,100.0,8729,5971,5879,21.03,20.84,78.24
SA1_ST39,70.12,100.0,100.0,100.0,8730,5992,5902,21.53,21.33,77.75
SA1_ST47,72.26,100.0,100.0,100.0,8731,6223,6104,25.24,25.01,74.07
SA1_ST59,75.05,100.0,100.0,100.0,8731,6493,6374,31.26,30.97,68.11
SA1_ST34,68.97,100.0,100.0,100.0,8732,5878,5790,19.11,18.94,80.14
SA2_ST145,83.64,100.0,100.0,100.0,8752,7318,7204,50.66,50.2,48.88
SA2_ST143,83.65,100.0,100.0,100.0,8753,7285,7201,51.15,50.68,48.4
