,sombra_media_%,sombra_mediana_%,sombra_p90_%,sombra_max_%,h_con_sombra,h_sombra_>10%,h_sombra_>50%,sombra_irr_ponderada_%,energia_bloqueada_kWh_m2,energia_incidente_kWh_m2
SA1_ST30,87.62,100.0,100.0,100.0,7710,7704,7679,70.88,70.23,28.85
SA1_ST28,87.8,100.0,100.0,100.0,7719,7713,7689,71.42,70.76,28.32
SA1_ST25,87.86,100.0,100.0,100.0,7735,7727,7705,71.87,71.2,27.87
SA1_ST13,87.1,100.0,100.0,100.0,7680,7666,7630,69.23,68.59,30.49
SA1_ST17,87.67,100.0,100.0,100.0,7734,7724,7675,71.83,71.17,27.91
SA1_ST23,87.58,100.0,100.0,100.0,7755,7742,7663,71.28,70.63,28.45
SA1_ST26,87.87,100.0,100.0,100.0,7730,7722,7700,71.73,71.07,28.01
SA1_ST29,87.74,100.0,100.0,100.0,7714,7708,7683,71.38,70.72,28.35
SA1_ST5,85.83,100.0,100.0,100.0,7553,7545,7517,63.01,62.43,36.65
SA1_ST22,87.64,100.0,100.0,100.0,7731,7703,7675,71.5,70.84,28.23
SA1_ST11,86.99,100.0,100.0,100.0,7645,7637,7620,67.95,67.32,31.75
SA1_ST4,85.57,100.0,100.0,100.0,7535,7526,7498,61.85,61.28,37.8
SA1_ST20,87.7,100.0,100.0,100.0,7728,7713,7682,71.91,71.25,27.83
SA1_ST31,87.23,100.0,100.0,100.0,7688,7678,7639,69.28,68.64,30.43
SA1_ST16,87.29,100.0,100.0,100.0,7692,7681,7645,70.4,69.75,29.33
SA1_ST1,83.86,100.0,100.0,100.0,7388,7376,7346,55.28,54.77,44.31
SA1_ST12,87.14,100.0,100.0,100.0,7689,7678,7645,68.82,68.19,30.89
SA1_ST10,87.08,100.0,100.0,100.0,7651,7644,7628,68.28,67.65,31.42
SA1_ST8,86.51,100.0,100.0,100.0,7616,7606,7576,66.04,65.43,33.65
SA1_ST19,87.79,100.0,100.0,100.0,7730,7717,7690,72.14,71.47,27.61
SA1_ST14,86.99,100.0,100.0,100.0,7673,7657,7619,69.03,68.39,30.69
SA1_ST21,87.63,100.0,100.0,100.0,7731,7712,7669,71.58,70.92,28.16
SA1_ST18,87.83,100.0,100.0,100.0,7731,7718,7692,72.3,71.63,27.45
SA1_ST24,87.82,100.0,100.0,100.0,7745,7738,7691,71.84,71.17,27.9
SA1_ST32,86.97,100.0,100.0,100.0,7664,7655,7619,68.31,67.68,31.4
SA1_ST9,86.94,100.0,100.0,100.0,7662,7654,7612,67.7,67.07,32.01
SA1_ST3,84.81,100.0,100.0,100.0,7490,7475,7427,58.98,58.44,40.64
SA1_ST6,86.03,100.0,100.0,100.0,7570,7562,7536,64.16,63.57,35.51
SA1_ST7,86.27,100.0,100.0,100.0,7591,7583,7557,65.2,64.6,34.48
SA1_ST15,87.12,100.0,100.0,100.0,7674,7663,7631,69.45,68.81,30.27
SA1_ST27,87.85,100.0,100.0,100.0,7724,7718,7694,71.6,70.94,28.13
SA1_ST2,84.26,100.0,100.0,100.0,7429,7416,7379,56.87,56.34,42.73
SA1_ST62,82.3,100.0,100.0,100.0,7258,7245,7208,49.67,49.21,49.86
SA1_ST60,82.22,100.0,100.0,100.0,7237,7232,7201,49.04,48.59,50.48
SA1_ST57,81.97,100.0,100.0,100.0,7252,7235,7175,47.77,47.33,51.75
SA1_ST45,82.92,100.0,100.0,100.0,7306,7297,7261,53.92,53.43,45.65
SA1_ST49,81.78,100.0,100.0,100.0,7215,7199,7160,49.66,49.2,49.88
SA1_ST55,82.05,100.0,100.0,100.0,7227,7221,7185,48.87,48.42,50.66
SA1_ST58,82.33,100.0,100.0,100.0,7256,7251,7210,48.86,48.41,50.66
SA1_ST61,82.19,100.0,100.0,100.0,7252,7243,7193,49.17,48.72,50.36
SA1_ST37,85.81,100.0,100.0,100.0,7575,7558,7516,64.76,64.16,34.92
SA1_ST54,82.09,100.0,100.0,100.0,7229,7223,7190,49.21,48.76,50.32
SA1_ST43,83.52,100.0,100.0,100.0,7371,7364,7317,56.76,56.23,42.85
SA1_ST36,86.02,100.0,100.0,100.0,7589,7577,7534,65.44,64.84,34.24
SA1_ST52,82.2,100.0,100.0,100.0,7239,7233,7201,49.43,48.97,50.1
SA1_ST63,82.43,100.0,100.0,100.0,7288,7271,7216,49.99,49.53,49.55
SA1_ST48,81.81,100.0,100.0,100.0,7205,7197,7166,50.1,49.64,49.44
SA1_ST33,86.62,100.0,100.0,100.0,7642,7618,7584,67.19,66.57,32.5
SA1_ST44,83.21,100.0,100.0,100.0,7331,7324,7286,55.36,54.85,44.23
